子事件,子事件时间,评论序号,用户ID,评论时间,评论内容,用户位置,评论点赞量
U22国足首秀，安东尼奥：非常满意全队表现,9月4日 19:11,0,,,非百家号页面，跳过评论爬取,,0
U23亚预赛1:2惜败国足，赛后东帝汶主帅：为队员的表现感到骄傲！,9月3日 22:43,0,,,非百家号页面，跳过评论爬取,,0
U23亚预赛国足2-1险胜东帝汶,9月3日 22:18,1,宇航员MonsterMike,09-03 22:28,这个视角很有趣哦👀,广东,0
U22国足表现不及格!U23亚预赛首轮2比1小胜东帝汶,9月3日 21:36,1,zhichengzhaxuyaoshi,09-04 08:12,国足超常发挥，险胜东南亚劲旅东帝汶,辽宁,0
U22国足表现不及格!U23亚预赛首轮2比1小胜东帝汶,9月3日 21:36,2,汉鹏鹍03o,09-04 07:31,牛国男足太丢人了,湖南,0
U22国足表现不及格!U23亚预赛首轮2比1小胜东帝汶,9月3日 21:36,3,柴千雁2T,09-03 22:08,中国足球彻底堕落了,江苏,0
U22国足表现不及格!U23亚预赛首轮2比1小胜东帝汶,9月3日 21:36,4,三行树KV,09-03 21:58,胜了,河北,0
U22国足表现不及格!U23亚预赛首轮2比1小胜东帝汶,9月3日 21:36,5,bd_maldini,09-03 21:44,作为西北地区首个专业足球场，还是首次启用，这菜地~无语了,天津,0
U22国足表现不及格!U23亚预赛首轮2比1小胜东帝汶,9月3日 21:36,6,善良的CH11,09-03 21:46,中国足球从此没落了。,江苏,0
"U22国足1-0险胜东帝汶!拜合拉木破门,亚洲杯前景几何?",9月3日 20:28,0,,,非百家号页面，跳过评论爬取,,0
U22男足亚预赛首战对阵东帝汶,9月3日 11:56,0,,,无评论,,0
