子事件,子事件时间,评论序号,用户ID,评论时间,评论内容,用户位置,评论点赞量
国足主场狂虐东南亚弱旅，目标6-0,9月4日 05:23,0,,,非百家号页面，跳过评论爬取,,0
U22国足1-0东帝汶队,9月3日 21:59,0,,,无评论,,0
U22国足表现不及格!U23亚预赛首轮2比1小胜东帝汶,9月3日 21:36,1,三行树KV,09-03 21:58,胜了,河北,0
U22国足表现不及格!U23亚预赛首轮2比1小胜东帝汶,9月3日 21:36,2,zhichengzhaxuyaoshi,09-04 08:12,国足超常发挥，险胜东南亚劲旅东帝汶,辽宁,0
U22国足表现不及格!U23亚预赛首轮2比1小胜东帝汶,9月3日 21:36,3,柴千雁2T,09-03 22:08,中国足球彻底堕落了,江苏,0
U22国足表现不及格!U23亚预赛首轮2比1小胜东帝汶,9月3日 21:36,4,bd_maldini,09-03 21:44,作为西北地区首个专业足球场，还是首次启用，这菜地~无语了,天津,0
U22国足表现不及格!U23亚预赛首轮2比1小胜东帝汶,9月3日 21:36,5,汉鹏鹍03o,09-04 07:31,牛国男足太丢人了,湖南,0
U22国足表现不及格!U23亚预赛首轮2比1小胜东帝汶,9月3日 21:36,6,善良的CH11,09-03 21:46,中国足球从此没落了。,江苏,0
U23亚预赛:U22国足主场2-1险胜东帝汶 拜合拉木、王钰栋破门,9月3日 21:32,0,,,非百家号页面，跳过评论爬取,,0
U22国足首开纪录:拜合拉木后点扛开对手 面对门将冷静施射破门,9月3日 21:16,0,,,非百家号页面，跳过评论爬取,,0
"U22国足1-0险胜东帝汶!拜合拉木破门,亚洲杯前景几何?",9月3日 20:28,0,,,非百家号页面，跳过评论爬取,,0
U23亚预赛首秀 中国战东帝汶 王钰栋领衔出征,9月3日 12:07,0,,,非百家号页面，跳过评论爬取,,0
